Customer_ID,Policy_ID,Customer_Name,Age,City,Policy_Type,Policy_Start_Date,Policy_Status,Annual_Premium,Sum_Assured,Claim_Status,Claim_Amount,Deductible,Sales_Channel,Payment_Mode,Claim_Ratio,Premium_Band,Age_Group
CUST109321,POL209321,Vijay Nair,61.0,Pune,Life,2025-07-08,Expired,40898.78,966354.84,Pending,56553.25,5374.19,Online,Credit Card,1.3827612950801955,High,56-65
CUST107371,POL207371,Rahul Patel,63.0,Bangalore,Term Life,2022-04-05,Expired,63916.12,1602412.29,Pending,113145.78,7302.82,Broker,UPI,1.7702229109026015,Very High,56-65
CUST102289,POL202289,Priya Sharma,65.0,Ahmedabad,Term Life,2025-03-04,Cancelled,77405.88,372224.67,Pending,199931.545,6463.94,Online,Debit Card,2.5828986764313,Very High,56-65
CUST109116,POL209116,Suresh Verma,26.0,Ahmedabad,Travel,2025-10-01,Active,41923.34,1272724.64,Denied,43865.78,4738.5,Partner,Debit Card,1.0463331404415774,High,26-35
CUST106606,POL206606,Divya Gupta,70.0,Ahmedabad,Travel,2024-08-05,Lapsed,10994.23,1897704.18,Under Review,226072.4,3465.91,Partner,Bank Transfer,20.562822498710688,Medium,65+
CUST102136,POL202136,Sneha Singh,47.0,Coimbatore,Health,2022-07-02,Active,77887.57,577989.78,Denied,237295.45,4926.19,Agent,Cash,3.046640818297451,Very High,46-55
CUST104953,POL204953,Priya Sharma,58.0,Delhi,Annuity,2023-02-04,Lapsed,90417.84,1184941.08,Pending,96473.19,6461.37,Broker,Cash,1.066970743826661,Very High,56-65
CUST108776,POL208776,Sneha Singh,62.0,Mumbai,Health,2023-08-12,Lapsed,32211.09,895218.34,No Claim,0.0,2788.63,Partner,Cash,0.0,High,56-65
CUST108647,POL208647,Karthik Reddy,31.0,Bangalore,Travel,2023-10-12,Expired,76923.25,1993886.36,Denied,4516.16,7099.82,Agent,Cash,0.0587099479026172,Very High,26-35
CUST101960,POL201960,Arun Kumar,57.0,Hyderabad,Auto,2021-01-03,Active,85082.91,2214251.26,Denied,160361.68,4635.08,Branch,Credit Card,1.884769573584166,Very High,56-65
CUST105355,POL205355,Karthik Reddy,66.0,Coimbatore,Term Life,2025-06-08,Lapsed,70999.99,1299715.04,Denied,62185.93,4782.63,Branch,Cash,0.8758582923744073,Very High,65+
CUST108728,POL208728,Vijay Nair,60.0,Delhi,Annuity,2023-04-09,Lapsed,5439.11,1094331.68,Under Review,51127.95,2620.63,Online,UPI,9.400058097740256,Low,56-65
CUST105766,POL205766,Divya Gupta,73.0,Coimbatore,Term Life,2024-09-28,Cancelled,32303.71,1259509.81,Denied,278819.52,9670.66,Broker,Debit Card,8.63119189715361,High,65+
CUST108103,POL208103,Priya Sharma,71.0,Chennai,Term Life,2023-08-26,Cancelled,92876.21,2159108.55,Pending,314974.86,1145.01,Agent,Cash,3.3913405811886594,Very High,65+
CUST104197,POL204197,Suresh Verma,47.0,Jaipur,Life,2021-12-17,Cancelled,52299.12,141323.44,Denied,312225.47,1447.54,Agent,Bank Transfer,5.969994715016236,Very High,46-55
CUST107070,POL207070,Arun Kumar,45.0,Ahmedabad,Home,2025-06-23,Lapsed,34471.78,915634.9,Approved,98914.3,1447.56,Online,Cash,2.869428268572148,High,36-45
CUST100542,POL200542,Sneha Singh,37.0,Chennai,Travel,2025-08-31,Active,48501.66,2109822.48,Pending,277300.18,3053.3,Broker,Debit Card,5.717333798472052,High,36-45
CUST106908,POL206908,Karthik Reddy,28.0,Chennai,Term Life,2021-11-02,Lapsed,47609.21,1516826.13,Under Review,385147.5,4471.52,Partner,Debit Card,8.089768765329229,High,26-35
CUST100041,POL200041,Sneha Singh,34.0,Bangalore,Home,2022-08-17,Cancelled,62121.75,1431663.03,Pending,195002.65,9496.21,Agent,Credit Card,3.1390398692889367,Very High,26-35
CUST103046,POL203046,Vijay Nair,69.0,Jaipur,Term Life,2023-02-03,Cancelled,59137.82,467640.9,Approved,319072.64,6164.22,Agent,Auto Debit,5.395407541231652,Very High,65+
CUST103736,POL203736,Divya Gupta,20.0,Pune,Life,2023-03-31,Active,95055.62,1133298.31,No Claim,0.0,8975.4,Branch,Debit Card,0.0,Very High,18-25
CUST109888,POL209888,Meena Rao,68.0,Ahmedabad,Term Life,2025-08-08,Cancelled,24785.25,1493167.7,No Claim,0.0,3710.51,Agent,Debit Card,0.0,Medium,65+
CUST107411,POL207411,Divya Gupta,38.0,Kolkata,Home,2024-10-16,Cancelled,58777.76,1022261.66,Pending,393524.66,5161.91,Online,Cash,6.695128565634348,Very High,36-45
CUST100434,POL200434,Rahul Patel,59.0,Mumbai,Term Life,2021-07-31,Expired,44831.58,2089559.36,Denied,207529.22,6591.32,Partner,UPI,4.629085568699564,High,56-65
CUST101139,POL201139,Divya Gupta,61.0,Mumbai,Home,2024-01-20,Expired,81994.01,1388080.3,Pending,9508.76,3673.53,Broker,Credit Card,0.1159689591959217,Very High,56-65
CUST101770,POL201770,Sneha Singh,56.0,Chennai,Annuity,2022-04-04,Lapsed,45043.69,545720.85,Pending,123429.56,800.37,Broker,Bank Transfer,2.740218663257828,High,56-65
CUST102772,POL202772,Anjali Iyer,39.0,Ahmedabad,Annuity,2024-05-31,Expired,45354.48,1604465.14,Under Review,248265.88,4127.23,Agent,Credit Card,5.473899822024197,High,36-45
CUST107513,POL207513,Arun Kumar,39.0,Mumbai,Auto,2022-06-05,Lapsed,13860.94,906408.21,No Claim,0.0,8058.38,Broker,Auto Debit,0.0,Medium,36-45
CUST105906,POL205906,Divya Gupta,21.0,Kolkata,Health,2025-01-17,Expired,94115.83,537149.27,Approved,399113.81,6050.49,Agent,Auto Debit,4.240666102609944,Very High,18-25
CUST103603,POL203603,Rahul Patel,52.0,Mumbai,Term Life,2022-02-18,Expired,18013.3,477623.96,Approved,239945.14,4622.86,Agent,Bank Transfer,13.320443228059268,Medium,46-55
CUST108453,POL208453,Anjali Iyer,42.0,Kolkata,Home,2024-02-24,Active,56375.36,770176.36,Under Review,43848.15,4050.62,Branch,Auto Debit,0.7777892682193072,Very High,36-45
CUST107362,POL207362,Meena Rao,56.0,Kolkata,Annuity,2024-01-27,Active,12761.25,1328006.78,Approved,184262.06,1609.69,Agent,Credit Card,14.439185816436478,Medium,56-65
CUST108617,POL208617,Sneha Singh,68.0,Mumbai,Travel,2022-11-07,Active,93106.13,2332290.73,Approved,119988.39,5669.13,Broker,UPI,1.2887270687762449,Very High,65+
CUST101283,POL201283,Vijay Nair,48.0,Hyderabad,Term Life,2024-06-14,Cancelled,39966.79,2058696.34,No Claim,0.0,4180.28,Branch,Auto Debit,0.0,High,46-55
CUST105018,POL205018,Sneha Singh,57.0,Ahmedabad,Auto,2022-09-24,Cancelled,87110.47,2113169.63,Pending,197197.85,8807.42,Agent,Cash,2.2637674897173667,Very High,56-65
CUST104199,POL204199,Divya Gupta,60.0,Chennai,Home,2022-05-08,Cancelled,46100.7,595419.79,Denied,301693.91,1941.95,Broker,Cash,6.544237072322112,High,56-65
CUST105211,POL205211,Suresh Verma,58.0,Jaipur,Health,2021-05-02,Expired,65755.73,917360.85,No Claim,0.0,6994.45,Agent,UPI,0.0,Very High,56-65
CUST100028,POL200028,Suresh Verma,45.0,Jaipur,Home,2024-02-05,Active,52401.73,1853766.13,Under Review,121127.82,1951.35,Partner,UPI,2.3115233027611874,Very High,36-45
CUST109848,POL209848,Rahul Patel,65.0,Jaipur,Auto,2021-10-14,Cancelled,32870.53,731962.79,No Claim,0.0,931.13,Partner,Cash,0.0,High,56-65
CUST107680,POL207680,Rahul Patel,71.0,Jaipur,Life,2023-10-01,Active,24260.4,501983.83,Pending,358215.71,8450.99,Broker,Bank Transfer,14.765449456727836,Medium,65+
CUST104822,POL204822,Anjali Iyer,56.0,Jaipur,Life,2023-09-05,Expired,46603.32,1767397.89,No Claim,0.0,6674.94,Branch,Credit Card,0.0,High,56-65
CUST101046,POL201046,Priya Sharma,75.0,Pune,Life,2021-01-18,Expired,58081.39,1281521.84,Denied,362305.09,5045.39,Branch,Auto Debit,6.237886007893406,Very High,65+
CUST102029,POL202029,Priya Sharma,60.0,Coimbatore,Term Life,2024-04-13,Expired,43493.02,451998.58,Under Review,160385.62,541.6,Branch,UPI,3.687617461376561,High,56-65
CUST100426,POL200426,Meena Rao,46.0,Hyderabad,Annuity,2024-12-14,Expired,84992.45,500028.18,Pending,310499.09,1832.71,Online,Auto Debit,3.65325496558812,Very High,46-55
CUST102335,POL202335,Divya Gupta,63.0,Ahmedabad,Auto,2022-11-07,Active,71938.13,534178.0,No Claim,0.0,6586.1,Partner,Cash,0.0,Very High,56-65
CUST102211,POL202211,Rahul Patel,46.0,Bangalore,Life,2024-02-29,Cancelled,11191.05,1516030.31,Pending,242991.64,9768.58,Agent,Debit Card,21.713033182766587,Medium,46-55
CUST102450,POL202450,Arun Kumar,64.0,Jaipur,Term Life,2025-05-30,Cancelled,10182.5,394261.61,Pending,367344.43,8179.83,Online,Credit Card,36.07605499631721,Medium,56-65
CUST104311,POL204311,Anjali Iyer,34.0,Mumbai,Health,2022-04-24,Expired,93331.81,191788.34,No Claim,0.0,4885.73,Online,Bank Transfer,0.0,Very High,26-35
CUST101764,POL201764,Anjali Iyer,59.0,Pune,Life,2025-08-20,Expired,18889.96,2163851.06,No Claim,0.0,5168.6,Online,Bank Transfer,0.0,Medium,56-65
CUST103237,POL203237,Priya Sharma,51.0,Pune,Term Life,2025-02-08,Expired,38393.63,294265.72,Pending,173129.93,958.48,Branch,Cash,4.509339960821626,High,46-55
CUST101913,POL201913,Divya Gupta,34.0,Bangalore,Travel,2021-10-01,Active,84808.66,459280.59,No Claim,0.0,9089.36,Partner,Bank Transfer,0.0,Very High,26-35
CUST102902,POL202902,Arun Kumar,61.0,Jaipur,Health,2022-08-16,Cancelled,88680.46,1371220.82,Under Review,165856.28,2989.01,Broker,Auto Debit,1.870268602576035,Very High,56-65
CUST104997,POL204997,Suresh Verma,75.0,Pune,Travel,2021-06-19,Lapsed,71094.64,482779.25,Denied,364619.44,2003.53,Broker,Bank Transfer,5.128648798277901,Very High,65+
CUST107129,POL207129,Anjali Iyer,68.0,Coimbatore,Annuity,2022-05-02,Active,84437.23,1430796.61,Denied,338772.49,2204.5,Branch,Credit Card,4.012122259339868,Very High,65+
CUST102052,POL202052,Sneha Singh,66.0,Chennai,Travel,2022-03-31,Expired,39512.86,1154821.54,Pending,80921.2,5154.69,Broker,Debit Card,2.047971217471982,High,65+
CUST107291,POL207291,Meena Rao,39.0,Jaipur,Home,2021-08-28,Lapsed,33021.48,332422.61,Denied,4156.36,1843.08,Agent,Credit Card,0.1258683741613034,High,36-45
CUST101841,POL201841,Priya Sharma,25.0,Mumbai,Annuity,2025-11-04,Expired,59227.12,1180487.72,Denied,141629.85,6235.33,Branch,Bank Transfer,2.391300640652458,Very High,18-25
CUST101991,POL201991,Suresh Verma,19.0,Kolkata,Annuity,2022-07-06,Active,84243.38,1329168.94,No Claim,0.0,7785.24,Partner,Auto Debit,0.0,Very High,18-25
CUST108969,POL208969,Karthik Reddy,57.0,Bangalore,Health,2023-05-17,Active,62539.3,505955.06,No Claim,0.0,3919.74,Branch,Bank Transfer,0.0,Very High,56-65
CUST103260,POL203260,Priya Sharma,61.0,Pune,Auto,2021-10-08,Cancelled,8680.95,1346478.32,Pending,299906.58,825.91,Branch,Cash,34.54766816995836,Low,56-65
CUST107920,POL207920,Vijay Nair,44.0,Hyderabad,Health,2025-08-03,Active,32982.74,1169058.83,Denied,335287.52,1512.76,Broker,Debit Card,10.1655447667477,High,36-45
CUST104982,POL204982,Karthik Reddy,29.0,Ahmedabad,Term Life,2024-11-06,Cancelled,98957.31,2436635.3,Under Review,110235.55,6051.79,Agent,Debit Card,1.1139707617355403,Very High,26-35
CUST104872,POL204872,Anjali Iyer,21.0,Bangalore,Auto,2025-08-16,Cancelled,45212.26,467264.74,No Claim,0.0,7716.18,Branch,Credit Card,0.0,High,18-25
CUST107969,POL207969,Priya Sharma,22.0,Ahmedabad,Auto,2025-05-17,Lapsed,19099.32,560092.35,Denied,344280.03,2465.28,Agent,UPI,18.025774216045388,Medium,18-25
CUST109652,POL209652,Sneha Singh,73.0,Chennai,Annuity,2021-05-04,Lapsed,52034.32,2280206.46,No Claim,0.0,3596.79,Agent,Debit Card,0.0,Very High,65+
CUST108597,POL208597,Arun Kumar,57.0,Chennai,Term Life,2021-05-26,Active,36900.49,1283157.27,Pending,356532.86,6459.11,Partner,UPI,9.662008824273066,High,56-65
CUST101576,POL201576,Meena Rao,35.0,Chennai,Health,2021-11-21,Lapsed,13719.28,783325.73,Pending,243252.13,6414.99,Broker,Cash,17.730677557422837,Medium,26-35
CUST108592,POL208592,Sneha Singh,66.0,Coimbatore,Auto,2025-06-06,Active,88320.27,1133064.3,No Claim,0.0,3781.52,Broker,UPI,0.0,Very High,65+
CUST105657,POL205657,Arun Kumar,50.0,Coimbatore,Life,2021-03-28,Expired,30649.52,1476584.52,Approved,121655.29,1897.04,Broker,Auto Debit,3.969239648777533,High,46-55
CUST108267,POL208267,Vijay Nair,27.0,Ahmedabad,Term Life,2021-09-04,Lapsed,8771.62,194534.52,No Claim,0.0,4491.25,Partner,Credit Card,0.0,Low,26-35
CUST100411,POL200411,Sneha Singh,33.0,Ahmedabad,Health,2025-03-09,Expired,74656.22,1894354.84,Pending,170093.82,6583.2,Partner,Auto Debit,2.278360999257664,Very High,26-35
CUST103304,POL203304,Rahul Patel,25.0,Mumbai,Term Life,2021-05-17,Cancelled,51968.05,2159539.97,No Claim,0.0,5995.46,Online,Auto Debit,0.0,Very High,18-25
CUST104217,POL204217,Sneha Singh,50.0,Pune,Term Life,2023-09-24,Expired,95341.26,1551834.34,Denied,124330.38,4289.01,Online,Cash,1.3040563969890897,Very High,46-55
CUST102696,POL202696,Vijay Nair,19.0,Jaipur,Health,2021-04-29,Cancelled,68939.04,1242805.44,Pending,273085.5,8673.34,Agent,Bank Transfer,3.961260557153103,Very High,18-25
CUST102847,POL202847,Karthik Reddy,27.0,Kolkata,Annuity,2023-09-05,Cancelled,13075.19,664303.14,No Claim,0.0,4250.03,Agent,Bank Transfer,0.0,Medium,26-35
CUST109059,POL209059,Suresh Verma,56.0,Bangalore,Health,2022-12-15,Expired,86073.27,1010068.35,Under Review,89407.42,3534.23,Broker,Cash,1.0387361837188247,Very High,56-65
CUST105093,POL205093,Rahul Patel,64.0,Pune,Term Life,2023-11-25,Active,78837.85,1043293.2,Denied,275052.68,9752.55,Agent,Debit Card,3.488840449099005,Very High,56-65
CUST106355,POL206355,Rahul Patel,75.0,Hyderabad,Annuity,2021-05-27,Expired,8086.34,2007421.5,Pending,28054.92,1114.95,Partner,Debit Card,3.4694212709334504,Low,65+
CUST109113,POL209113,Suresh Verma,70.0,Hyderabad,Annuity,2025-08-20,Lapsed,44066.37,1561730.91,Approved,338535.57,7337.19,Online,Bank Transfer,7.682402022222388,High,65+
CUST100093,POL200093,Vijay Nair,39.0,Chennai,Term Life,2024-05-27,Expired,44279.52,1533015.88,Pending,92031.81,3274.55,Branch,UPI,2.078428356946959,High,36-45
CUST103608,POL203608,Priya Sharma,34.0,Coimbatore,Home,2025-08-09,Lapsed,17287.3,1401570.64,No Claim,0.0,6651.49,Branch,Bank Transfer,0.0,Medium,26-35
CUST102976,POL202976,Arun Kumar,51.0,Hyderabad,Home,2024-11-03,Active,74671.69,361343.53,Approved,13138.92,3475.56,Partner,UPI,0.17595584082803,Very High,46-55
CUST109792,POL209792,Priya Sharma,73.0,Chennai,Health,2025-08-30,Active,64634.44,306856.28,Pending,83956.03,2328.81,Agent,Credit Card,1.2989364493604338,Very High,65+
CUST109362,POL209362,Sneha Singh,60.0,Kolkata,Annuity,2021-06-02,Lapsed,97443.96,784220.41,Approved,139003.59,3148.62,Online,UPI,1.4264977531701295,Very High,56-65
CUST108437,POL208437,Anjali Iyer,24.0,Ahmedabad,Health,2023-09-06,Cancelled,65328.91,1411011.01,Denied,295069.18,4165.38,Partner,Cash,4.51667079704835,Very High,18-25
CUST107118,POL207118,Vijay Nair,53.0,Jaipur,Annuity,2024-12-15,Active,16935.63,1232595.03,No Claim,0.0,8092.87,Online,Credit Card,0.0,Medium,46-55
CUST101146,POL201146,Sneha Singh,25.0,Ahmedabad,Travel,2022-09-13,Expired,90914.93,647938.75,No Claim,0.0,9571.21,Partner,Cash,0.0,Very High,18-25
CUST103535,POL203535,Arun Kumar,37.0,Jaipur,Travel,2022-08-27,Expired,8469.04,1888382.13,Under Review,287871.23,2326.5,Broker,UPI,33.99101078752727,Low,36-45
CUST100451,POL200451,Vijay Nair,43.0,Jaipur,Home,2025-06-16,Cancelled,93515.22,1420485.23,Pending,51800.4,6694.53,Online,Debit Card,0.5539248049675765,Very High,36-45
CUST104568,POL204568,Meena Rao,49.0,Chennai,Auto,2024-04-13,Cancelled,89839.31,1373454.74,Under Review,45141.09,537.02,Partner,Cash,0.5024647896338473,Very High,46-55
CUST103526,POL203526,Karthik Reddy,28.0,Mumbai,Term Life,2021-07-29,Lapsed,32387.59,1148511.36,Under Review,253423.01,9271.0,Online,UPI,7.824694890851712,High,26-35
CUST100781,POL200781,Priya Sharma,71.0,Jaipur,Travel,2023-05-12,Active,7945.29,1960913.66,No Claim,0.0,4028.85,Online,Credit Card,0.0,Low,65+
CUST100447,POL200447,Suresh Verma,30.0,Hyderabad,Annuity,2024-06-15,Lapsed,23405.11,61881.83,Under Review,201656.57,5755.77,Online,Credit Card,8.615920625880417,Medium,26-35
CUST102209,POL202209,Karthik Reddy,68.0,Pune,Travel,2025-03-16,Lapsed,42836.75,1054035.07,No Claim,0.0,4927.53,Branch,Credit Card,0.0,High,65+
CUST100290,POL200290,Sneha Singh,53.0,Pune,Annuity,2021-01-12,Active,33729.4,685621.36,Approved,341056.99,1377.96,Partner,Bank Transfer,10.11156409541824,High,46-55
CUST102312,POL202312,Vijay Nair,50.0,Ahmedabad,Annuity,2022-02-16,Expired,76314.1,1978510.51,Denied,231356.53,1021.12,Agent,Bank Transfer,3.031635438274185,Very High,46-55
CUST100723,POL200723,Suresh Verma,18.0,Jaipur,Term Life,2021-01-31,Cancelled,24087.19,797782.73,Approved,61875.47,9729.21,Agent,UPI,2.568812302306745,Medium,18-25
CUST105513,POL205513,Vijay Nair,73.0,Pune,Annuity,2024-06-01,Active,41956.73,2312267.8,Pending,119777.77,5517.92,Online,Credit Card,2.854792782945668,High,65+
CUST107910,POL207910,Sneha Singh,48.0,Chennai,Auto,2024-05-18,Lapsed,78689.22,561136.79,No Claim,0.0,1340.29,Partner,Auto Debit,0.0,Very High,46-55
CUST100194,POL200194,Divya Gupta,54.0,Kolkata,Annuity,2024-02-16,Cancelled,54489.0,1276975.32,Pending,47439.73,6311.84,Partner,Cash,0.8706294848501533,Very High,46-55
CUST100628,POL200628,Karthik Reddy,71.0,Ahmedabad,Travel,2025-05-24,Lapsed,90467.39,413982.45,Denied,154328.93,4428.59,Online,Cash,1.705906736117843,Very High,65+
CUST109486,POL209486,Sneha Singh,39.0,Coimbatore,Travel,2025-11-21,Lapsed,73981.44,859379.99,No Claim,0.0,2180.28,Broker,Cash,0.0,Very High,36-45
CUST102914,POL202914,Karthik Reddy,50.0,Hyderabad,Health,2024-08-01,Lapsed,78583.47,1931400.55,Approved,1090.54,4111.42,Branch,Cash,0.0138774732141505,Very High,46-55
CUST105364,POL205364,Karthik Reddy,18.0,Pune,Home,2025-05-06,Active,59232.1,2185667.68,Under Review,138118.83,2946.6,Broker,UPI,2.3318239603188133,Very High,18-25
CUST107792,POL207792,Vijay Nair,34.0,Pune,Term Life,2021-08-23,Expired,96036.71,653056.44,Pending,254779.88,9956.96,Agent,Auto Debit,2.652942609133528,Very High,26-35
CUST102032,POL202032,Divya Gupta,36.0,Delhi,Term Life,2021-02-20,Active,79311.99,1711818.01,Denied,116408.8,4328.98,Broker,Auto Debit,1.4677326845537475,Very High,36-45
CUST106043,POL206043,Sneha Singh,42.0,Chennai,Health,2021-08-12,Cancelled,37830.9,637352.47,Approved,126110.25,7961.74,Online,Auto Debit,3.3335249756151715,High,36-45
CUST101882,POL201882,Karthik Reddy,21.0,Jaipur,Health,2023-07-18,Lapsed,75226.5,172209.52,Approved,72965.55,1115.91,Online,Credit Card,0.9699447668042512,Very High,18-25
CUST108616,POL208616,Arun Kumar,20.0,Coimbatore,Health,2021-10-05,Lapsed,35317.06,921467.51,No Claim,0.0,3017.04,Branch,Cash,0.0,High,18-25
CUST109062,POL209062,Vijay Nair,23.0,Ahmedabad,Annuity,2021-06-22,Cancelled,5451.29,864803.38,Approved,350316.46,2642.83,Branch,Cash,64.26303865690507,Low,18-25
CUST103924,POL203924,Sneha Singh,48.0,Ahmedabad,Life,2025-02-09,Active,74583.01,1669515.56,Approved,181285.03,3287.19,Partner,Debit Card,2.430647811076544,Very High,46-55
CUST101483,POL201483,Anjali Iyer,43.0,Jaipur,Health,2021-05-05,Active,94984.26,1789723.98,Under Review,178439.0,6125.41,Agent,Bank Transfer,1.8786165202529344,Very High,36-45
CUST105324,POL205324,Anjali Iyer,19.0,Hyderabad,Health,2023-01-09,Lapsed,90559.23,2478895.5,Pending,143819.94,6983.89,Broker,Bank Transfer,1.5881312153382932,Very High,18-25
CUST108941,POL208941,Meena Rao,69.0,Coimbatore,Life,2024-04-12,Cancelled,16481.34,2043919.8,Pending,243713.78,7616.92,Branch,Debit Card,14.78725516250499,Medium,65+
CUST101062,POL201062,Karthik Reddy,21.0,Chennai,Annuity,2024-04-29,Expired,43974.14,158551.64,Pending,353184.65,4173.37,Agent,Credit Card,8.03164428002458,High,18-25
CUST109713,POL209713,Divya Gupta,49.0,Chennai,Auto,2021-11-11,Active,14693.52,1705499.22,Under Review,44249.29,2575.68,Online,Auto Debit,3.0114832933156928,Medium,46-55
CUST106805,POL206805,Rahul Patel,65.0,Jaipur,Auto,2025-02-14,Cancelled,33695.53,783488.58,Pending,186455.73,3081.05,Branch,Bank Transfer,5.533544953885575,High,56-65
CUST106020,POL206020,Rahul Patel,59.0,Kolkata,Home,2023-08-26,Cancelled,31376.87,1543206.24,Under Review,134352.07,4482.56,Partner,Credit Card,4.281882482223371,High,56-65
CUST108913,POL208913,Karthik Reddy,23.0,Kolkata,Home,2024-04-11,Lapsed,85847.94,2444832.92,Denied,203497.32,4500.74,Branch,Credit Card,2.3704391741956767,Very High,18-25
CUST103934,POL203934,Karthik Reddy,72.0,Hyderabad,Annuity,2021-09-10,Cancelled,25563.18,2106977.09,Approved,41549.86,4020.17,Online,Credit Card,1.625379158617981,High,65+
CUST101022,POL201022,Suresh Verma,27.0,Mumbai,Home,2021-09-07,Active,35946.42,84812.76,Denied,307794.2,5442.77,Partner,Bank Transfer,8.562582866388365,High,26-35
CUST103876,POL203876,Rahul Patel,65.0,Kolkata,Travel,2021-12-20,Lapsed,68005.34,126165.27,Approved,270052.05,7639.63,Partner,UPI,3.971041832891358,Very High,56-65
CUST100683,POL200683,Anjali Iyer,32.0,Jaipur,Home,2024-04-06,Lapsed,69248.83,286085.37,Denied,347855.16,5873.78,Broker,Cash,5.023264075364161,Very High,26-35
CUST106695,POL206695,Sneha Singh,37.0,Kolkata,Life,2024-06-12,Active,25533.12,2396844.96,No Claim,0.0,2021.9,Partner,Debit Card,0.0,High,36-45
CUST103691,POL203691,Priya Sharma,63.0,Chennai,Auto,2025-10-02,Active,55198.55,2214124.54,Denied,143644.54,1010.21,Online,Credit Card,2.6023245175824363,Very High,56-65
CUST105287,POL205287,Meena Rao,52.0,Delhi,Term Life,2024-12-22,Expired,17023.71,1406061.53,Approved,381893.45,4010.38,Branch,UPI,22.43303310500473,Medium,46-55
CUST104706,POL204706,Priya Sharma,52.0,Kolkata,Term Life,2021-11-05,Expired,75315.27,1434451.76,Under Review,293757.41,4267.1,Online,UPI,3.90036987187326,Very High,46-55
